secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
4319,60,109,26.187,12.6648,0,88,108.2,-1.68187600,53.82703900,0,3.73671,10,0,-255,0,0,0,0,0,0,0,0
4320,59,109,26.19,12.1896,0,78,108.2,-1.68184500,53.82702200,0,3.16528,10,0,-255,0,0,0,0,0,0,0,0
4321,59,110,26.193,11.736,0,67,108.4,-1.68181400,53.82699900,0,3.83195,10,0,-255,0,0,0,0,0,0,0,0
4322,60,110,26.1965,11.6496,0,57,108.4,-1.68178000,53.82697600,0,3.39717,10,0,-255,0,0,0,0,0,0,0,0
4323,61,110,26.1996,11.4264,0,53,108.4,-1.68174300,53.82695800,0,2.90936,10,0,-255,0,0,0,0,0,0,0,0
4324,62,110,26.2029,11.4624,0,51,108.4,-1.68170300,53.82694200,0,2.36882,10,0,-255,0,0,0,0,0,0,0,0
4325,50,109,26.2062,11.7216,0,41,108.2,-1.68166700,53.82691900,0,1.76276,10,0,-255,0,0,0,0,0,0,0,0
4326,32,109,26.2094,11.8008,0,30,108.2,-1.68163300,53.82690000,0,1.22222,10,0,-255,0,0,0,0,0,0,0,0
4327,14,109,26.213,11.88,0,19,108.2,-1.68159500,53.82687900,0,0.666667,10,0,-255,0,0,0,0,0,0,0,0
4328,0,109,26.2167,12.312,0,0,108.2,-1.68155400,53.82685400,0,0.666667,10,0,-255,0,0,0,0,0,0,0,0
4329,0,108,26.2207,12.8016,0,0,108,-1.68151000,53.82683000,0,-0.439394,10,0,-255,0,0,0,0,0,0,0,0
4330,0,108,26.2249,13.464,0,0,108,-1.68146400,53.82680400,0,-0.439394,10,0,-255,0,0,0,0,0,0,0,0
4331,0,107,26.2294,14.3784,0,0,107.8,-1.68141400,53.82677700,0,-1.55051,10,0,-255,0,0,0,0,0,0,0,0
4332,0,107,26.2343,15.3504,0,0,107.6,-1.68135200,53.82675200,0,-1.95867,10,0,-255,0,0,0,0,0,0,0,0
4333,0,106,26.2393,16.272,0,0,107.6,-1.68128400,53.82673300,0,-1.95867,10,0,-255,0,0,0,0,0,0,0,0
4334,71,105,26.244,16.7976,0,8,107.4,-1.68121900,53.82671400,0,-2.3842,10,0,-255,0,0,0,0,0,0,0,0
4335,66,104,26.2494,17.5968,0,17,107.4,-1.68114500,53.82669400,0,-1.77814,10,0,-255,0,0,0,0,0,0,0,0
4336,49,104,26.2548,18.3168,0,25,107.4,-1.68106900,53.82667600,0,-1.77814,10,0,-255,0,0,0,0,0,0,0,0
4337,31,103,26.26,18.5112,0,32,107.4,-1.68099600,53.82665700,0,-1.77814,10,0,-255,0,0,0,0,0,0,0,0
4338,14,103,26.2646,18.2304,0,40,107.4,-1.68093100,53.82664200,0,-1.77814,10,0,-255,0,0,0,0,0,0,0,0
4339,0,103,26.2699,18.6192,0,0,107.4,-1.68085300,53.82663200,0,-1.27814,10,0,-255,0,0,0,0,0,0,0,0
4340,0,103,26.2748,18.2736,0,0,107.4,-1.68078000,53.82662400,0,-1.27814,10,0,-255,0,0,0,0,0,0,0,0
4341,0,103,26.2801,18.1584,0,0,107.4,-1.68070100,53.82661700,0,-0.833695,10,0,-255,0,0,0,0,0,0,0,0
4342,34,103,26.2855,18.3384,0,8,107.4,-1.68061900,53.82661000,0,-0.425532,10,0,-255,0,0,0,0,0,0,0,0
4343,71,103,26.2904,18.5472,0,24,107.4,-1.68054500,53.82660500,0,-0.425532,10,0,-255,0,0,0,0,0,0,0,0
4344,67,103,26.2959,18.756,0,40,107.2,-1.68046300,53.82659400,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4345,49,103,26.3006,18.5832,0,41,107.2,-1.68039400,53.82658600,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4346,31,102,26.3056,18.4032,0,42,107.2,-1.68031900,53.82657800,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4347,35,101,26.3107,18.1728,0,25,107.2,-1.68024400,53.82656800,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4348,71,101,26.3158,18.3168,0,25,107.2,-1.68016600,53.82656300,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4349,65,100,26.3212,18.2016,0,27,107.2,-1.68008500,53.82655500,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4350,46,100,26.3264,18.6192,0,26,107.2,-1.68000800,53.82654400,0,-0.363636,10,0,-255,0,0,0,0,0,0,0,0
4351,28,100,26.3314,18.5976,0,25,107,-1.67993300,53.82653700,0,-0.763636,10,0,-255,0,0,0,0,0,0,0,0
4352,9,100,26.3359,18.1512,0,25,107.2,-1.67986500,53.82653400,0,-0.319192,10,0,-255,0,0,0,0,0,0,0,0
4353,0,99,26.3399,17.3592,0,0,107.2,-1.67980500,53.82653000,0,-0.319192,10,0,-255,0,0,0,0,0,0,0,0
4354,0,97,26.3429,15.5736,0,0,107.2,-1.67976100,53.82652500,0,0.0444444,10,0,-255,0,0,0,0,0,0,0,0
4355,0,96,26.3444,12.96,0,0,107.2,-1.67974000,53.82651900,0,0.0444444,10,0,-255,0,0,0,0,0,0,0,0
4356,0,94,26.3451,9.8208,0,0,107.2,-1.67973000,53.82651900,0,0.0444444,10,0,-255,0,0,0,0,0,0,0,0
4416,0,103,26.3454,0.0576,0,0,107.2,-1.67967800,53.82651000,0,0.0444444,10,0,-255,0,0,0,0,0,0,0,0
4417,0,103,26.3468,0.1044,0,0,107,-1.67965900,53.82650200,0,-1.38413,10,0,-255,0,0,0,0,0,0,0,0
4418,0,103,26.3485,0.198,0,0,107,-1.67963600,53.82649500,0,-1.38413,10,0,-255,0,0,0,0,0,0,0,0
4419,0,103,26.3505,0.3132,0,0,106.8,-1.67960600,53.82649200,0,-2.38413,10,0,-255,0,0,0,0,0,0,0,0
4420,0,103,26.3525,0.4176,0,0,106.6,-1.67957800,53.82648700,0,-2.98413,10,0,-255,0,0,0,0,0,0,0,0
4421,0,103,26.3542,6.336,0,0,106.6,-1.67955300,53.82648000,0,-3.42857,10,0,-255,0,0,0,0,0,0,0,0
4422,8,104,26.3559,6.5448,0,0,106.8,-1.67952900,53.82647600,0,-2.2521,10,0,-255,0,0,0,0,0,0,0,0
4423,6,104,26.3584,7.1568,0,0,106.8,-1.67949100,53.82647200,0,-2.2521,10,0,-255,0,0,0,0,0,0,0,0
4424,3,104,26.3613,7.7112,0,0,106.8,-1.67944800,53.82646900,0,-2.2521,10,0,-255,0,0,0,0,0,0,0,0
4425,0,103,26.3642,8.4312,0,0,106.8,-1.67940500,53.82646400,0,-2.2521,10,0,-255,0,0,0,0,0,0,0,0
4426,0,102,26.3669,9.1872,0,0,106.8,-1.67936500,53.82645700,0,-2.2521,10,0,-255,0,0,0,0,0,0,0,0
4427,0,101,26.3697,9.9216,0,0,106.8,-1.67932500,53.82644900,0,-0.823529,10,0,-255,0,0,0,0,0,0,0,0
4428,0,100,26.3729,10.3824,0,0,106.8,-1.67927800,53.82644100,0,-0.823529,10,0,-255,0,0,0,0,0,0,0,0
4429,0,99,26.376,10.5984,0,0,106.8,-1.67923200,53.82643400,0,0.176471,10,0,-255,0,0,0,0,0,0,0,0
4430,0,98,26.3796,11.0448,0,0,106.6,-1.67918000,53.82642900,0,0.620915,10,0,-255,0,0,0,0,0,0,0,0
4431,0,97,26.3832,11.6784,0,0,106.6,-1.67912700,53.82641800,0,0.620915,10,0,-255,0,0,0,0,0,0,0,0
4432,0,97,26.3872,12.5928,0,0,106.6,-1.67906900,53.82640700,0,-0.555556,10,0,-255,0,0,0,0,0,0,0,0
